title;abstract;keywords;authors;doi
Real-Time Event-Based Dynamic Multi-Facility Vehicle Rerouting;This paper presents a system architecture for real-time information transmission between the dispatcher and service vehicles allowing the logistic system the possibility of reacting to dynamic events such as new service requests and dropouts in the Internet of Things (IoT) paradigm. This paper focuses on a variant of the vehicle routing problem (VRP) called the capacitated multi-depot vehicle routing problem and takes into consideration the dynamic nature of the system. To obtain real-time solutions to the routing problem, a new two-stage algorithm is detailed that makes use of various heuristics and local search metaheuristics to generate high-quality solutions to facilitate real-time decision-making. The proposed methodology creates an initial route plan for the predetermined requests and then modifies the original route as new events (customer requests) are available over time. The performance of proposed rerouting algorithms demonstrated in a simulated framework with two depots and four vehicles.;"Internet of Things;logistics;search problems;vehicle routing;system architecture;real-time information transmission;service vehicles;logistic system;dynamic events;service requests;Internet of Things paradigm;capacitated multidepot vehicle routing problem;real-time solutions;high-quality solutions;real-time decision-making;initial route plan;local search metaheuristics;real-time event-based dynamic multifacility vehicle rerouting;Vehicle Routing;Industry 4.0;Tabu search;Path Cheapest Arc;Real-Ti";A. {Madhu} and R. {Harikrishnakumar} and S. {Nannapaneni} and K. {Krishnan};10.1109/ISORC49007.2020.00034
GPS/INS uses low-cost MEMS IMU;A description of the design, operation, and test results of a miniature, low-cost, integrated GPS/inertial navigation system that uses commercial off-the-shelf micro-electro-mechanical system (MEMS) accelerometers and gyroscopes. The MEMS inertial measurement unit (EMU) is packaged in a small size and provides the raw EMU data through a serial interface to a processor board where the inertial navigation solution and integrated GPS/inertial Kalman filter is generated. The GPS/inertial software integration is performed using NAVSYS' modular InterNav software product. This allows integration with different low-cost GPS chip sets or receivers and also allows the integrated GPS/inertial navigation solution to be embedded as an application on a customer's host computer. This modular object-oriented architecture facilitates integration of the miniature MEMS GPS/INS navigation system for embedded navigation applications and is designed to handle the large errors characteristic of a low-grade MEMS IMU. Test results are presented showing the performance of the integrated MEMS GPS/inertial navigation system. Data is provided showing the position, velocity, and attitude accuracy when operating with GPS aiding and also for periods where GPS dropouts occur and alternative navigation update sources are used to bound the MEMS inertial navigation error growth.;"inertial navigation;Global Positioning System;aircraft navigation;micromechanical devices;accelerometers;gyroscopes;aircraft instrumentation;object-oriented methods;Kalman filters;MEMS IMU;miniature navigation system;low-cost navigation systen;integrated GPS/inertial navigation system;commercial off-the-shelf micro-electro-mechanical system;accelerometers;gyroscopes;MEMS inertial measurement unit;Kalman filter;GPS/inertial software integration;modular InterNav software product;low-cost GPS chip ";A. K. {Brown};10.1109/MAES.2005.1514768
Application of EMC Testing to Chip Level SOC (System on a CIp);The advent of customer requirements for module level electromagnetic compatibility (EMC) testing has an impact on the successful achievement of application specific integrated circuit (ASIC) design and qualification. This paper will describe the applicability of the following EMC test standards to a SOC (system on a chip) device: ISO 11452, SAE J1113, AEC Q100, SAE J1752/3 and Ford ES-XW7T-1A278-AB and -AC. The testing presented will focus on: 1) immunity to power supply voltage dropout, 2) radiated emissions, 3) spark over parallel wire, 4) coupled immunity, and 5) RF immunity. Best practice design techniques for module PCB layout will be reviewed. A recently performed battery of EMC test results, including high temperature testing, for a sensor signal conditioner SOC IC will be presented in this paper as an illustration of the overall approach.;"electromagnetic compatibility;integrated circuit testing;printed circuit layout;system-on-chip;EMC testing;chip level SOC;system on a chip;electromagnetic compatibility testing;application specific integrated circuit;ASIC design;ISO 11452;SAE J1113;AEC Q100;SAE J1752/3;Ford ES-XW7T-1A278-AB;PCB layout;sensor signal conditioner;Electromagnetic compatibility;System testing;Circuit testing;System-on-a-chip;Integrated circuit testing;Immunity testing;Application specific integrated circuits;ISO stan";D. {Petry};10.1109/PSES.2007.4378480
Load prediction methods using machine learning for home energy management systems based on human behavior patterns recognition;Load forecasting can enhance the reliability and efficiency of operations in a home energy management system (HEMS). The rise of big data with machine learning in recent years makes it a potential solution. This paper proposes two new energy load forecasting methods, enhancing the traditional sequence to sequence long short-term memory (S2S-LSTM) model. Method 1 integrates S2S-LSTM with human behavior patterns recognition, implemented and compared by 3 types of algorithms: density based spatial clustering of applications with noise (DBSCAN), K-means and Pearson correlation coefficient (PCC). Among them, PCC is proven to be better than the others and suitable for a large number of residential customers. Method 2 further improves Method 1's performance with a modified multi-layer Neural Network architecture, which is constituted by fully-connected, dropout and stable improved softmax layers. It optimizes the process of supervised learning in LSTM and improves the stability and accuracy of the prediction model. The performances of both proposed methods are evaluated on a dataset of 8-week electricity consumptions from 2337 residential customers.;"Load modeling;Predictive models;Pattern recognition;Clustering algorithms;Recurrent neural networks;Cluster analysis;home energy management systems;long short-term memory;machine learning;neural network";L. {Fan} and J. {Li} and X. {Zhang};10.17775/CSEEJPES.2018.01130
Identifying student retention patterns using GIS technology;Geographic information systems (GIS) have been used successfully by personnel in government, business, and industry to map natural resource data, determine socioeconomic boundaries, and manage fleet routing activities. The diverse applications of GIS have made its use attractive to people in many professions. However, educators have not used this technological tool as extensively even though they acquire a large amount of student data. Similar to business owners, it is helpful for administrators in higher education to understand their student/customer base in order to meet their needs and retain them. The author obtained student addresses at both a Midwestern and Western university and mapped them onto a GIS system. Spatial analysis was used to determine whether there were geographic differences among students who dropped out of school, remained enrolled, or successfully graduated within six years of matriculation. Differences were found among the student groups. Geographic distance did not make a difference for dropouts or graduates. However, living near the universities was significant for students who remained in school. Proximity to classes is important for many students to continue their education and ultimately graduate. Additional research using GIS can assist educators in finding off-site campus locations near the greatest concentration of students.;"educational administrative data processing;geographic information systems;student retention patterns;GIS technology;geographic information systems;socioeconomic boundaries;fleet routing activities;spatial analysis;Geographic Information Systems;Educational institutions;Technology management;Environmental economics;Management information systems;Personnel;Government;Routing;Continuing education;Psychology";C. {Hanewicz};10.1109/PICMET.2009.5261844
IEEE Recommended Practice for Powering and Grounding Electronic Equipment;The IEEE Emerald Book(TM) presents a collection of consensus best practices for thepowering and grounding of electronic equipment used in commercial and industrial applications.The main objective is to provide consensus recommended practices in an area where conflictinginformation and conflicting design philosophies have dominated. The recommended practicesdescribed are intended to enhance equipment performance while maintaining a safe installation. Adescription of the nature and origin of power disturbances is provided, followed by theory on thevarious parameters that impact power quality. Information on quantifying and resolving power andgrounding related concerns using measurement and diagnostic instrumentation and standardizedinvestigative procedures are included. Recommended power protection equipment and wiring andgrounding system design practices are presented. Information on telecommunications systempower protection as well as grounding, industrial system grounding, and noise control is included.Finally a selection of case studies are presented to support the recommended practices presentedthroughout the book.;"IEEE Standards;Commercialization;Electronic equipment;Industry applications;Power conditioning;Power system quality;Monitoring;Grounding;commercial applications;electrical power;electronic equipment;grounding;industrialapplications;power conditioning;power disturbance;power monitor;power quality";;10.1109/IEEESTD.2006.216391
Estimating customer churn under competing risks;;;Routh, Pallav and Roy, Arkajyoti and Meyer, Jeff;10.1080/01605682.2020.1776166
A machine learning framework for customer purchase prediction in the non-contractual setting;;;Martínez, Andrés and Schmuck, Claudia and Pereverzyev, Sergiy and Pirker, Clemens and Haltmeier, Markus;10.1016/j.ejor.2018.04.034
A {Case} of {Churn} {Prediction} in {Telecommunications} {Industry};Churn prediction is the practice of assigning a probability to the event of a customer ending his contract with a service provider. Traditional data mining approaches to churn prediction in telecommunications industry are based on detecting patterns from customer contractual information, traffic related data, bills and payments, CRM data and customer service logs. The study presented in this paper has employed various machine learning approaches and assessed their performances using the data of a European mobile operator. The feature importance rankings which were used for feature selection yielded also some initial guidelines for acting on churn prevention in practice.;churn, data mining, feature selection, feature-selection, optimization, stacking, telecommunications;Brmez, Simon and Znidarsic, Martin;
Churn {Prediction} {Model} for {Effective} {Gym} {Customer} {Retention};In the fitness industry, rolling gym membership contracts allow customers to terminate a contract with little advanced notice. Customer churn prediction is a well known area in Machine Learning research. Many companies, however, face a data science skills gap when trying to translate this research onto their own datasets and IT infrastructure. In this paper we present a series of experiments that aim to predict customer behaviour, in order to increase gym utilisation and customer retention. We use two off-the-shelf machine learning platforms, so that we can evaluate whether these platforms, used by non ML experts, can help companies improve their services.;customer churn, gym attendance, machine learning;Semrl, Jas and Matei, Alexandru;
Churn {Prediction} {Model} for {Effective} {Gym} {Customer} {Retention};In the fitness industry, rolling gym membership contracts allow customers to terminate a contract with little advanced notice. Customer churn prediction is a well known area in Machine Learning research. Many companies, however, face a data science skills gap when trying to translate this research onto their own datasets and IT infrastructure. In this paper we present a series of experiments that aim to predict customer behaviour, in order to increase gym utilisation and customer retention. We use two off-the-shelf machine learning platforms, so that we can evaluate whether these platforms, used by non ML experts, can help companies improve their services.;customer churn, gym attendance, machine learning;Semrl, Jas and Matei, Alexandru;
Using machine learning techniques to preduct defection of top clients;Fierce competition in many industries causes switching behavior of customers. Because foregone profits of defected customers are significant, an increase of the retention rate can be very profitable. In this paper, we focus on the treatment of companies' most promising current customers in a non-contractual setting. We build a model in order to predict churn behavior of top clients who will (partially) defect in the near future. We applied the following classification techniques: logistic regression, linear discriminant analysis, quadratic discriminant analysis, C4.5, neural networks and Naive Bayes. Their performance is quantified by the classification accuracy and the area under the receiver operating characteristic curve (AUROC). The experiments were carried out on a real life data set obtained by a Belgian retailer. The article contributes in many ways. The results show that past customer behavior has predictive power to indicate future partial defection. This finding is from a companies' point of view even more important than being able to define total defectors, which was until now the traditional goal in attrition research. It was found that neural networks performed better than the other classification techniques in terms of both classification accuracy and AUROC. Although the performance benefits are sometimes small in absolute terms, they are statistically significant and relevant from a marketing perspective. Finally it was found that the number of past shop visits and the time between past shop incidences are amongst the most predictive inputs for the problem at hand.;;Buckinx, W. and Baesens, Bart and Van den Poel, D. and Van Kenhove, P. and Vanthienen, Jan;
Deep neural network for complex open-water wetland mapping using high-resolution WorldView-3 and airborne LiDAR data;;Deep learning, Small wetlands, Machine learning, Optical and LiDAR data, PCA;Vitor S. Martins and Amy L. Kaleita and Brian K. Gelder and Gustavo W. Nagel and Daniel A. Maciel;https://doi.org/10.1016/j.jag.2020.102215
Designing an expert system for fraud detection in private telecommunications networks;;Fraud detection, User modeling, Expert systems, Telecommunications, Data mining applications;Constantinos S. Hilas;https://doi.org/10.1016/j.eswa.2009.03.031
Fuzzy Inference Algorithm based on Quantitative Association Rules;;"quantitative association rules, apriori algorithm, discretization, TS fuzzy rules ;";Ling Wang and Ji-Yuan Dong and Shu-Lin Li;https://doi.org/10.1016/j.procs.2015.09.166
Citizens as consumers: Profiling e-government services’ users in Egypt via data mining techniques;;e-Government services, Consumer profiling, Neural networks, Data mining, Egypt;Mohamed M. Mostafa and Ahmed A. El-Masry;https://doi.org/10.1016/j.ijinfomgt.2013.03.007
Training trends: Macro, micro, and policy issues;;Globalization, Demographic changes, Training trends, Digital technology and work, Labor markets, Non-standard workers, Middle skills, Vocational education, Micro-learning;Wayne F. Cascio;https://doi.org/10.1016/j.hrmr.2017.11.001
Churn prediction using comprehensible support vector machine: An analytical CRM application;;Churn prediction, Support vector machine, Rule extraction, Naive Bayes Tree, Machine learning and customer relationship management;M.A.H. Farquad and Vadlamani Ravi and S. Bapi Raju;https://doi.org/10.1016/j.asoc.2014.01.031
A big data analytics model for customer churn prediction in the retiree segment;;Big data, Business intelligence, Churn prediction model, Hadoop, Customer lifetime value, Classification, Regression tree;Farid Shirazi and Mahbobeh Mohammadi;https://doi.org/10.1016/j.ijinfomgt.2018.10.005
Towards large-scale mapping of local climate zones using multitemporal Sentinel 2 data and convolutional neural networks;;Local climate zones, Convolutional neural network, Sentinel 2;Johannes Rosentreter and Ron Hagensieker and Björn Waske;https://doi.org/10.1016/j.rse.2019.111472
Multidisciplinary Pattern Recognition applications: A review;;Pattern recognition, Machine learning, Deep learning, Hidden Markov models;Marina Paolanti and Emanuele Frontoni;https://doi.org/10.1016/j.cosrev.2020.100276
Managing Customer Relationships in the Social Media Era: Introducing the Social CRM House;;Customer relationship management, Social media, Engagement, Information technology, Customer insight, Employees, Key performance indicator;Edward C. Malthouse and Michael Haenlein and Bernd Skiera and Egbert Wege and Michael Zhang;https://doi.org/10.1016/j.intmar.2013.09.008
Merging anomalous data usage in wireless mobile telecommunications: Business analytics with a strategy-focused data-driven approach for sustainability;;Analytics, Artificial intelligence, Data mining, Decision support systems, OR in telecommunications, Validation of OR Computations;Yi-Ting Chen and Edward W. Sun and Yi-Bing Lin;https://doi.org/10.1016/j.ejor.2019.02.046
Deep Learning loss model for large-scale low voltage smart grids;;Deep learning, Smart grids, Uncertainty, Probabilistic modelling, Clustering, Phase imbalance;Jose Angel Velasco and Hortensia Amaris and Monica Alonso;https://doi.org/10.1016/j.ijepes.2020.106054
An optimized model using LSTM network for demand forecasting;;Demand prediction, Time series forecasting, Statistical methods, LSTM, RNN;Hossein Abbasimehr and Mostafa Shabani and Mohsen Yousefi;https://doi.org/10.1016/j.cie.2020.106435
Quantitative models for direct marketing: A review from systems perspective;;Marketing, Data mining, Customer profiling, Customer targeting, Statistical modeling, Performance evaluation;Indranil Bose and Xi Chen;https://doi.org/10.1016/j.ejor.2008.04.006
Operational research from Taylorism to Terabytes: A research agenda for the analytics age;;Analytics, Big data, Data visualisation, History of OR, History of computing;Michael J. Mortenson and Neil F. Doherty and Stewart Robinson;https://doi.org/10.1016/j.ejor.2014.08.029
A memetic approach to construct transductive discrete support vector machines;;Data mining, Transductive learning, Support vector machines, Memetic algorithms, Combinatorial optimization;Hubertus Brandner and Stefan Lessmann and Stefan Voß;https://doi.org/10.1016/j.ejor.2013.05.010
Fuzzy rule based unsupervised sentiment analysis from social media posts;;Social media, Twitter, Sentiment analysis, Fuzzy rule, Lexicon;Srishti Vashishtha and Seba Susan;https://doi.org/10.1016/j.eswa.2019.112834
Faults in smart grid systems: Monitoring, detection and classification;;Smart grid, Electric power system, Fault monitoring, Fault detection, Fault classification, 5G communication systems;Angel Esteban {Labrador Rivas} and Taufik Abrão;https://doi.org/10.1016/j.epsr.2020.106602
Adaptive intelligent techniques for microgrid control systems: A survey;;Adaptive control, Intelligent technique, Particle swarm optimization, Fuzzy logic, Distributed generations, Islanded micro-grid;Magdi S. Mahmoud and Nezar M. Alyazidi and Mohamed I. Abouheaf;https://doi.org/10.1016/j.ijepes.2017.02.008
A survey on hyperparameters optimization algorithms of forecasting models in smart grid;;Forecasting, Hyperparameters, Parameter tuning, Data preprocessing, Training algorithms, Outliers in data, Processing time;Rabiya Khalid and Nadeem Javaid;https://doi.org/10.1016/j.scs.2020.102275
Model of Customer Churn Prediction on Support Vector Machine;;customer churn, support vector machine (SVM), telecommunication industry;Guo-en XIA and Wei-dong JIN;https://doi.org/10.1016/S1874-8651(09)60003-X
Detecting the migration of mobile service customers using fuzzy clustering;;Clustering, Customer behavior, Migration, Mobile services, Temporal data, Usage patterns;Indranil Bose and Xi Chen;https://doi.org/10.1016/j.im.2014.11.001
Can we vote with our tweet? On the perennial difficulty of election forecasting with social media;;Evaluating forecasts, Surveys, Model selection, Elections, Social media;Mark Huberty;https://doi.org/10.1016/j.ijforecast.2014.08.005
Calling communities analysis and identification using machine learning techniques;;Social communities, Classification, Clustering, Customer behavior, Machine learning;Keivan Kianmehr and Reda Alhajj;https://doi.org/10.1016/j.eswa.2008.07.072
Applying behavioral economics in predictive analytics for B2B churn: Findings from service quality data;;Organizational decision analytics, B2B service operations, Churn, Service quality, Decision-making, Rationality, Bounded rationality, Heuristics, Adaptive toolbox, Somatic states;Arash Barfar and Balaji Padmanabhan and Alan Hevner;https://doi.org/10.1016/j.dss.2017.06.006
Chapter 1 - The Automating of Open Source Intelligence;;privacy, ethics, automation, surveillance, machine learning, statistics;Agate M. Ponder-Sutton;https://doi.org/10.1016/B978-0-12-802916-9.00001-4
Chapter 11 - InsurTech and FinTech: Banking and Insurance Enablement;;Insurance technology, Digital revolution, Digital finance, Insurance sector;Tan Choon Yan and Paul Schulte and David {LEE Kuo Chuen};https://doi.org/10.1016/B978-0-12-810441-5.00011-7
Distributed customer behavior prediction using multiplex data: A collaborative MK-SVM approach;;Customer relationship management, Behavior analysis, Customer churn prediction, Customer purchase prediction, Support vector machine, Multiple kernel learning;Zhen-Yu Chen and Zhi-Ping Fan;https://doi.org/10.1016/j.knosys.2012.04.023
Staying Power of Churn Prediction Models;;Churn prediction, Scoring models, Customer relationship management;Hans Risselada and Peter C. Verhoef and Tammo H.A. Bijmolt;https://doi.org/10.1016/j.intmar.2010.04.002
Configuring the new digital landscape in western Canadian agriculture;;Economic landscape, Agricultural systems, Digital agriculture, Firm strategy, Interoperability, Data;Peter W.B. Phillips and Jo-Anne Relf-Eckstein and Graeme Jobe and Brian Wixted;https://doi.org/10.1016/j.njas.2019.04.001
Chapter 16 - Customer Response Modeling;;;Robert Nisbet and John Elder and Gary Miner;https://doi.org/10.1016/B978-0-12-374765-5.00016-4
A comparative analysis of data preparation algorithms for customer churn prediction: A case study in the telecommunication industry;;Predictive analytics, Data preparation techniques, Churn prediction;Kristof Coussement and Stefan Lessmann and Geert Verstraeten;https://doi.org/10.1016/j.dss.2016.11.007
An ANN-based model for learning individual customer behavior in response to electricity prices;;, Artificial neural networks, Customer behavior learning, Demand response programs, LSTM, Price elasticity of demand, Smart grid;Taha Abdelhalim Nakabi and Pekka Toivanen;https://doi.org/10.1016/j.segan.2019.100212
Borrow from rich cousin: transfer learning for emotion detection using cross lingual embedding;;Deep learning, Cross lingual transfer learning, Emotion classification;Zishan Ahmad and Raghav Jindal and Asif Ekbal and Pushpak Bhattachharyya;https://doi.org/10.1016/j.eswa.2019.112851
Sales forecasts in clothing industry: The key success factor of the supply chain management;;Sales forecasts, Textile–apparel supply chain, Clothing industry, Sourcing simulation;Sébastien Thomassey;https://doi.org/10.1016/j.ijpe.2010.07.018
Behavior-aware user response modeling in social media: Learning from diverse heterogeneous data;;Data mining, Direct marketing, Response modeling, Social media, Engagement behavior;Zhen-Yu Chen and Zhi-Ping Fan and Minghe Sun;https://doi.org/10.1016/j.ejor.2014.09.008
Does country-of-origin brand personality generate retail customer lifetime value? A Big Data analytics approach;;Big Data analytics, Customer-driven marketing strategy, Country-of-origin, Brand personality, Customer lifetime value, Retail industry;Lan-Lung (Luke) Chiang and Chin-Sheng Yang;https://doi.org/10.1016/j.techfore.2017.06.034
Modeling of steelmaking process with effective machine learning techniques;;Steelmaking process, Modeling, Prediction, Random forests, Support vector regression, Artificial neural networks, Dynamic evolving neural-fuzzy inference system, 5-Fold cross validation;Dipak Laha and Ye Ren and P.N. Suganthan;https://doi.org/10.1016/j.eswa.2015.01.030
Chapter 2 - Big data principles and paradigm;;Big data, ocean energy system, mapreduce, Hadoop, NoSQL, data stream management;Vikas Khare and Savita Nema and Prashant Baredar;https://doi.org/10.1016/B978-0-12-818904-7.00002-2
Churn and Net Promoter Score forecasting for business decision-making through a new stepwise regression methodology;;Churn prediction, Net Promoter Score, Stepwise regression, WOE variables;D. Vélez and A. Ayuso and C. Perales-González and J. Tinguaro Rodríguez;https://doi.org/10.1016/j.knosys.2020.105762
Artificial intelligence and machine learning approaches to energy demand-side response: A systematic review;;Artificial intelligence, Machine learning, Artificial neural networks, Nature-inspired intelligence, Multi-agent systems, Demand response, Power systems;Ioannis Antonopoulos and Valentin Robu and Benoit Couraud and Desen Kirli and Sonam Norbu and Aristides Kiprakis and David Flynn and Sergio Elizondo-Gonzalez and Steve Wattam;https://doi.org/10.1016/j.rser.2020.109899
An evidential reasoning-based decision support system for handling customer complaints in mobile telecommunications;;Decision support system, Customer complaint handling, Evidential reasoning rule, Classification, Mobile telecommunications;Ying Yang and Dong-Ling Xu and Jian-Bo Yang and Yu-Wang Chen;https://doi.org/10.1016/j.knosys.2018.09.029
Random Balance: Ensembles of variable priors classifiers for imbalanced data;;Classifier ensembles, Imbalanced data sets, Bagging, AdaBoost, SMOTE, Undersampling;José F. Díez-Pastor and Juan J. Rodríguez and César García-Osorio and Ludmila I. Kuncheva;https://doi.org/10.1016/j.knosys.2015.04.022
Deep learning based software defect prediction;;Software defect prediction, Deep learning, Software quality, Software metrics, Robustness evaluation;Lei Qiao and Xuesong Li and Qasim Umer and Ping Guo;https://doi.org/10.1016/j.neucom.2019.11.067
Marketing analytics: Methods, practice, implementation, and links to other fields;;Analytics, Prediction, Marketing, Visualization, Segmentation, Data mining;Stephen L. France and Sanjoy Ghose;https://doi.org/10.1016/j.eswa.2018.11.002
A framework to classify heterogeneous Internet traffic with Machine Learning and Deep Learning techniques for satellite communications;;Internet traffic classification, Machine learning, Satellite communications, QoS Management, Encrypted traffic;Fannia Pacheco and Ernesto Exposito and Mathieu Gineste;https://doi.org/10.1016/j.comnet.2020.107213
Learning from class-imbalanced data: Review of methods and applications;;Rare events, Imbalanced data, Machine learning, Data mining;Guo Haixiang and Li Yijing and Jennifer Shang and Gu Mingyun and Huang Yuanyue and Gong Bing;https://doi.org/10.1016/j.eswa.2016.12.035
Optimal selection of potential customer range through the union sequential pattern by using a response model;;Response model, Union sequential pattern, Classification algorithm, Support vector machine, Logistic regression;Wen-Chin Chen and Chiun-Chieh Hsu and Jing-Ning Hsu;https://doi.org/10.1016/j.eswa.2010.12.078
Leveraging deep learning with LDA-based text analytics to detect automobile insurance fraud;;Insurance fraud, Fraud detection, Text analytics, Topic modeling, Deep learning;Yibo Wang and Wei Xu;https://doi.org/10.1016/j.dss.2017.11.001
Subscription fraud prevention in telecommunications using fuzzy rules and neural networks;;Fraud prevention, Fraud detection, Subscription fraud, Neural networks, Fuzzy rules;Pablo A. Estévez and Claudio M. Held and Claudio A. Perez;https://doi.org/10.1016/j.eswa.2005.09.028
Chapter 9 - Classification;;What is classification?, Initial operations in classification, Major issues with classification, Assumptions of classification procedures, Analyzing imbalanced data sets with machine-learning programs, Phases in the operation of classification algorithms, Advantages and disadvantages of common classification algorithms, What is the best algorithm for classification?, Automated analytics—Is it the wave of the future?;Robert Nisbet and Gary Miner and Ken Yale;https://doi.org/10.1016/B978-0-12-416632-5.00009-8
An empirical evaluation of rotation-based ensemble classifiers for customer churn prediction;;CRM, Database marketing, Customer churn prediction, Ensemble classification, Rotation-based ensemble classifiers, RotBoost, Rotation Forest, ICA, AUC, Lift;Koen W. {De Bock} and Dirk Van den Poel;https://doi.org/10.1016/j.eswa.2011.04.007
Introducing a new method for the fusion of fraud evidence in banking transactions with regards to uncertainty;;Fraud detection, IFS, DST, Uncertainty, Evidential reasoning;Abdollah Eshghi and Mehrdad Kargari;https://doi.org/10.1016/j.eswa.2018.11.039
Targeting customers for profit: An ensemble learning framework to support marketing decision-making;;Profit analytics, Marketing decision support, Machine learning, Business value;Stefan Lessmann and Johannes Haupt and Kristof Coussement and Koen W. {De Bock};https://doi.org/10.1016/j.ins.2019.05.027
Transformative effects of IoT, Blockchain and Artificial Intelligence on cloud computing: Evolution, vision, trends and open challenges;;Cloud computing, Quality of Service, Cloud applications, Cloud paradigms and technologies, IoT, Blockchain, Artificial Intelligence;Sukhpal Singh Gill and Shreshth Tuli and Minxian Xu and Inderpreet Singh and Karan Vijay Singh and Dominic Lindsay and Shikhar Tuli and Daria Smirnova and Manmeet Singh and Udit Jain and Haris Pervaiz and Bhanu Sehgal and Sukhwinder Singh Kaila and Sanjay Misra and Mohammad Sadegh Aslanpour and Harshit Mehta and Vlado Stankovski and Peter Garraghan;https://doi.org/10.1016/j.iot.2019.100118
Index;;;;https://doi.org/10.1016/B978-0-12-804291-5.00027-1
A bibliometric analysis and cutting-edge overview on fuzzy techniques in Big Data;;Big data, Fuzzy sets, Type-2 fuzzy sets, Bibliometric study, Web of science, Scopus;Amit K. Shukla and Pranab K. Muhuri and Ajith Abraham;https://doi.org/10.1016/j.engappai.2020.103625
A reference model for customer-centric data mining with support vector machines;;Marketing, Data mining, Customer relationship management, Support vector machines;Stefan Lessmann and Stefan Voß;https://doi.org/10.1016/j.ejor.2008.12.017
Champion-challenger analysis for credit card fraud detection: Hybrid ensemble and deep learning;;Credit card fraud detection, Deep learning, Hybrid ensemble, Model evaluation, Class imbalance;Eunji Kim and Jehyuk Lee and Hunsik Shin and Hoseong Yang and Sungzoon Cho and Seung-kwan Nam and Youngmi Song and Jeong-a Yoon and Jong-il Kim;https://doi.org/10.1016/j.eswa.2019.03.042
A deep learning-based sports player evaluation model based on game statistics and news articles;;Sports player evaluation, Deep neural network, Sentence polarity, Baseball;Young Joon Park and Hyung Seok Kim and Donghwa Kim and Hankyu Lee and Seoung Bum Kim and Pilsung Kang;https://doi.org/10.1016/j.knosys.2017.09.028
Improved churn prediction in telecommunication industry using data mining techniques;;Telecommunication, Churn prediction, ANN, KNN, SVM, Decision tree;A. Keramati and R. Jafari-Marandi and M. Aliannejadi and I. Ahmadian and M. Mozaffari and U. Abbasi;https://doi.org/10.1016/j.asoc.2014.08.041
Development of a Bayesian Belief Network-based DSS for predicting and understanding freshmen student attrition;;Student retention, Prediction, Elastic net, Bayesian Belief Network (BBN), Imbalance data;Dursun Delen and Kazim Topuz and Enes Eryarsoy;https://doi.org/10.1016/j.ejor.2019.03.037
Chapter 14 - Customer Response Modeling;;Early CRM issues in business, Knowing how customers behaved before they acted, CRM in business ecosystems, Retention, Up-sell, Cross sell, LTV=life time value modeling, Ecosystems, Business ecosystems, Industrial revolution, Static measures, Evolutionary measures, Qualitative abstraction, Generalization abstraction, Temporal abstractions, Lag variable;Robert Nisbet and Gary Miner and Ken Yale;https://doi.org/10.1016/B978-0-12-416632-5.00014-1
RULEM: A novel heuristic rule learning approach for ordinal classification with monotonicity constraints;;Ordinal classification, Rule learning, Monotonicity constraints, Justifiability, Heuristic, Post-processing;Wouter Verbeke and David Martens and Bart Baesens;https://doi.org/10.1016/j.asoc.2017.01.042
Chapter 9 - Getting Started;;;Dorian Pyle;https://doi.org/10.1016/B978-155860653-1.50012-9
Integrated framework for profit-based feature selection and SVM classification in credit scoring;;Profit measure, Group penalty, Credit scoring, Support Vector Machines, Analytics;Sebastián Maldonado and Cristián Bravo and Julio López and Juan Pérez;https://doi.org/10.1016/j.dss.2017.10.007
Mining social networks for anomalies: Methods and challenges;;Anomaly detection, Online social networks, Graph mining, Graph anomaly detection, Outlier detection, Social Network Analysis;P.V. Bindu and P. Santhi Thilagam;https://doi.org/10.1016/j.jnca.2016.02.021
Index;;;;https://doi.org/10.1016/B978-155558242-5/50016-4
Improved customer choice predictions using ensemble methods;;Marketing, Bagging, Bias/variance decomposition, Boosting, Brand choice, CART, Choice models, Data mining, Ensembles;Michiel {van Wezel} and Rob Potharst;https://doi.org/10.1016/j.ejor.2006.05.029
On-line anomaly detection with advanced independent component analysis of multi-variate residual signals from causal relation networks;;On-line anomaly detection, Causal relation networks, Advanced multi-variate residual analysis, Dominant parts of independent component analysis, Automated control limits, On-line production systems;Edwin Lughofer and Alexandru-Ciprian Zavoianu and Robert Pollak and Mahardhika Pratama and Pauline Meyer-Heye and Helmut Zörrer and Christian Eitzinger and Thomas Radauer;https://doi.org/10.1016/j.ins.2020.06.034
Do the pieces fit? Assessing the configuration effects of promotion attributes;;Sales promotion, Configuration theory, Boosted tree approach, Marketing strategies;Ling Peng and Geng Cui and Yuho Chung;https://doi.org/10.1016/j.jbusres.2019.11.081
Evaluating the efficacy of SVMs, BNs, ANNs and ANFIS in wave height prediction;;Wave height forecasting, Lake Superior, Support Vector Machines (SVMs), Bayesian Networks (BNs), Adaptive Neuro-Fuzzy Inference System(ANFIS), Artificial Neural Networks (ANNs);Iman Malekmohamadi and Mohammad Reza Bazargan-Lari and Reza Kerachian and Mohammad Reza Nikoo and Mahsa Fallahnia;https://doi.org/10.1016/j.oceaneng.2010.11.020
The analytics paradigm in business research;;Business analytics, Causal-explanatory modeling, Predictive modeling, Big data, Business disciplines, Business research;Dursun Delen and Hamed M. Zolbanin;https://doi.org/10.1016/j.jbusres.2018.05.013
